date,time,ticker,name,platform,login,followers,live_viewers,total_views,hours_live_since_jul15,clips_since_jul15,clip_views_since_jul15
2026-07-14,20:14,KING68,"King68TheGreat",twitch,king68thegreat,37588,414,,0,0,0
2026-07-14,20:14,THEMIG,"TheMightyBA",twitch,themightyba,6322,,,0,0,0
2026-07-14,20:14,THEREA,"Therealnialovee",twitch,therealnialovee,36995,,,0,0,0
2026-07-14,20:14,LEII,"Leii",twitch,leii,1,,,0,0,0
2026-07-14,20:14,TIANAM,"Tiana Musarra",twitch,tianamusarra,1,,,0,0,0
2026-07-14,20:14,WABEWR,"Wabewrld",twitch,wabewrld,33699,,,0,0,0
2026-07-14,20:14,WARDRO,"WardrobeWinter",twitch,wardrobewinter,73329,,,0,0,0
2026-07-14,20:14,WRLDKA,"WRLDKailee",twitch,wrldkailee,41303,,,0,0,0
2026-07-14,20:14,XSCAPE,"XscapeVerse",twitch,xscapeverse,2550,,,0,0,0
2026-07-14,20:14,YABOYY,"Yaboyywill",twitch,yaboyywill,613,,,0,0,0
2026-07-14,20:14,YUGI2X,"Yugi2x",twitch,yugi2x,330205,,,0,0,0
2026-07-14,20:14,MARLEA,"Marlea",twitch,marlea,49972,,,0,0,0
2026-07-14,20:14,DAVIS,"Davis",twitch,davis,513243,,,0,0,0
2026-07-14,20:14,AMBERR,"AmberrTyson",twitch,amberrtyson,30505,,,0,0,0
2026-07-14,20:14,EDWARD,"Edwardkso",twitch,edwardkso,104058,,,0,0,0
2026-07-14,20:14,LAILAS,"Laila Simone",twitch,lailasimone,0,,,0,0,0
2026-07-14,20:14,LANIAL,"Lanializa",twitch,lanializa,22866,,,0,0,0
2026-07-14,20:14,DCTHAD,"DCTHADESIGNER",twitch,dcthadesigner,3837,,,0,0,0
2026-07-14,20:14,CATRNA,"Catrnado",twitch,catrnado,27600,,,0,0,0
2026-07-14,20:14,CHAKRA,"ChakraShooter",twitch,chakrashooter,17061,,,0,0,0
2026-07-14,20:14,NOTQUI,"NotQuiteLikeDub",twitch,notquitelikedub,272700,,,0,0,0
2026-07-14,20:14,RAPHAE,"Raphael Solo Live",twitch,raphaelsololive,29240,,,0,0,0
2026-07-14,20:14,RIZZ,"Rizz",twitch,rizz,741,,,0,0,0
2026-07-14,20:14,RAWDOG,"Rawdogmoon",twitch,rawdogmoon,155040,,,0,0,0
2026-07-14,20:14,NAIJA,"Queen Naija",youtube,@QueenNaija,5200000,,1572692811,,,
2026-07-14,20:14,CNYC,"Clarence NYC",youtube,@ClarenceNYC,0,,0,,,
2026-07-14,20:14,KANEL,"Kanel Joseph",youtube,@KanelJoseph,3540000,,282554831,,,
2026-07-14,20:14,JAIDA,"Jaidabunni",youtube,@jaidabunni,143000,,3165421,,,
2026-07-14,20:14,SMOKE,"Smokecertified",youtube,@smokecertified,37,,329,,,
2026-07-14,20:14,RIZPYT,"Rizpy (YouTube)",youtube,@RizpyYT,26300,,2637901,,,
2026-07-14,21:06,STABLE,"Stable Ronaldo",twitch,stableronaldo,4785269,,,0,0,0
2026-07-14,21:06,PLAQUE,"PlaqueBoyMax",twitch,plaqueboymax,2466938,,,0,0,0
2026-07-14,21:06,WEEN,"JasonTheWeen",twitch,jasontheween,2371570,,,0,0,0
2026-07-14,21:06,SKETCH,"Sketch",twitch,thesketchreal,1695689,,,0,0,0
2026-07-14,21:06,LACY,"Lacy",twitch,lacy,2697885,12783,,0,0,0
2026-07-14,21:06,MARLON,"Marlon",twitch,marlon,2418707,,,0,0,0
2026-07-14,21:06,SILKY,"Silky",twitch,silky,1171571,,,0,0,0
2026-07-14,21:06,DRUM,"OfficeDrummer",twitch,officedrummer,249268,,,0,0,0
2026-07-14,21:06,CGC,"Chris Gone Crazy",twitch,chrisgonecrazy,3,,,0,0,0
2026-07-14,21:06,YUSUF,"Yusuf7n",twitch,yusuf7n,276587,,,0,0,0
2026-07-14,21:06,PINK,"s0pink",twitch,s0pink,8942,,,0,0,0
2026-07-14,21:06,MOOK,"Mookie",twitch,mookie,10996,,,0,0,0
2026-07-14,21:06,AIKOOO,"Aikooofficial",twitch,aikooofficial,7790,,,0,0,0
2026-07-14,21:06,STRAIG,"Straight2ThBank",twitch,straight2thbank,277,,,0,0,0
2026-07-14,21:06,COOLBU,"coolbutterflyyyy",twitch,coolbutterflyyyy,6445,,,0,0,0
2026-07-14,21:06,A2GUAP,"A2guapo",twitch,a2guapo,243910,,,0,0,0
2026-07-14,21:06,AVAZUR,"Avazura",twitch,avazura,34718,,,0,0,0
2026-07-14,21:06,2XCEEE,"2xceeej",twitch,2xceeej,21874,,,0,0,0
2026-07-14,21:06,ANDREW,"Andrewuhrik",twitch,andrewuhrik,13381,,,0,0,0
2026-07-14,21:06,ANGELC,"AngelCrackedU",twitch,angelcrackedu,6649,,,0,0,0
2026-07-14,21:06,AOZAMI,"Aozami",twitch,aozami,23831,,,0,0,0
2026-07-14,21:06,BENJYC,"BenjyChavez_",twitch,benjychavez_,189023,,,0,0,0
2026-07-14,21:06,BLAZIA,"Blazian",twitch,blazian,6106,,,0,0,0
2026-07-14,21:06,BONITA,"Bonita",twitch,bonita,24954,,,0,0,0
2026-07-14,21:06,BRAEDE,"Braeden",twitch,braeden,278902,,,0,0,0
2026-07-14,21:06,GIOVAN,"Giovanna Ramos",twitch,giovannaramos,0,,,0,0,0
2026-07-14,21:06,MADAIC,"Madaichakell",twitch,madaichakell,1648,,,0,0,0
2026-07-14,21:06,MADI2H,"Madi2hottyy",twitch,madi2hottyy,225350,,,0,0,0
2026-07-14,21:06,MALEK0,"Malek_04",twitch,malek_04,45414,,,0,0,0
2026-07-14,21:06,MANDOO,"MandooMillions",twitch,mandoomillions,1948,,,0,0,0
2026-07-14,21:06,MEESTE,"MeesterKeem",twitch,meesterkeem,53151,,,0,0,0
2026-07-14,21:06,MIYA,"Miya",twitch,miya,22542,,,0,0,0
2026-07-14,21:06,MYANIC,"Mya Nicole",twitch,myanicole,2,,,0,0,0
2026-07-14,21:06,NOEMI,"Noemi",twitch,noemi,154036,,,0,0,0
2026-07-14,21:06,NOTBIL,"NotBilzo",twitch,notbilzo,47855,,,0,0,0
2026-07-14,21:06,ONLYLA,"OnlyLarryKing",twitch,onlylarryking,35167,,,0,0,0
2026-07-14,21:06,PAYTON,"Payton Baeton",twitch,paytonbaeton,4,,,0,0,0
2026-07-14,21:06,PUDGIE,"Pudgie16",twitch,pudgie16,2471,,,0,0,0
2026-07-14,21:06,REEMKN,"Reemknocks",twitch,reemknocks,174913,,,0,0,0
2026-07-14,21:06,RIZPY,"RizpyYT",twitch,rizpyyt,14433,,,0,0,0
2026-07-14,21:06,RULAEM,"Rula Empire",twitch,rulaempire,135836,,,0,0,0
2026-07-14,21:06,RUNIK,"Runik",twitch,runik,2,,,0,0,0
2026-07-14,21:06,SARAHF,"Sarah Farrugia",twitch,sarahfarrugia,5914,,,0,0,0
2026-07-14,21:06,SELEOL,"Seleolu",twitch,seleolu,5979,,,0,0,0
2026-07-14,21:06,SHAZDE,"Shaz Delicious",twitch,shazdelicious,39308,,,0,0,0
2026-07-14,21:06,SIERRA,"Sierra Sprague",twitch,sierrasprague,17477,,,0,0,0
2026-07-14,21:06,SUHMMI,"SUHMMIEE",twitch,suhmmiee,9311,,,0,0,0
2026-07-14,21:06,SUKIIM,"Sukiimellow",twitch,sukiimellow,19123,,,0,0,0
2026-07-14,21:06,SUBURB,"Suburbbaby",twitch,suburbbaby,176362,,,0,0,0
2026-07-14,21:06,TAYLOR,"Taylor Jasmine",twitch,taylorjasmine,4,,,0,0,0
2026-07-14,21:06,YSABEL,"Ysabella Grace",twitch,ysabellagrace,18810,,,0,0,0
2026-07-14,21:06,COOLIT,"Coolitshawty",twitch,coolitshawty,4136,,,0,0,0
2026-07-14,21:06,CUTEGU,"CuteGunz",twitch,cutegunz,16450,,,0,0,0
2026-07-14,21:06,DAMIIL,"DamiiLive",twitch,damiilive,44320,,,0,0,0
2026-07-14,21:06,DOPEBO,"Dopeboyoli",twitch,dopeboyoli,1405,,,0,0,0
2026-07-14,21:06,E11YSA,"E11ysa",twitch,e11ysa,134698,,,0,0,0
2026-07-14,21:06,ELINAM,"Elinameng",twitch,elinameng,5214,,,0,0,0
2026-07-14,21:06,EZEE,"Ezee",twitch,ezee,32856,,,0,0,0
2026-07-14,21:06,FLAKO,"Flako",twitch,flako,58275,,,0,0,0
2026-07-14,21:06,FUMIBE,"Fumibean",twitch,fumibean,6025,,,0,0,0
2026-07-14,21:06,FTGIOO,"ftgioo",twitch,ftgioo,49018,,,0,0,0
2026-07-14,21:06,ILIKEH,"ilikehaskell",twitch,ilikehaskell,67915,,,0,0,0
